"timestamp","date time","EcIo","RSCP"
1494237166.9628763,"08/05/2017 17:52:46"," 134d3"," -13"," -93"
1494237168.4759953,"08/05/2017 17:52:48"," 134d3"," -14"," -98"
1494237169.9885259,"08/05/2017 17:52:49"," 134d3"," -13"," -94"
1494237171.501453,"08/05/2017 17:52:51"," 134d3"," -9"," -94"
1494237173.0060444,"08/05/2017 17:52:53"," 134d3"," -13"," -97"
1494237174.5073364,"08/05/2017 17:52:54"," 134d3"," -11"," -95"
1494237176.0182993,"08/05/2017 17:52:56"," 134d3"," -11"," -96"
1494237177.5332506,"08/05/2017 17:52:57"," 134d3"," -9"," -94"
1494237179.0343719,"08/05/2017 17:52:59"," 134d3"," -12"," -94"
1494237180.545879,"08/05/2017 17:53:00"," 134d3"," -11"," -96"
1494237182.051781,"08/05/2017 17:53:02"," 134d3"," -11"," -96"
1494237183.5518634,"08/05/2017 17:53:03"," 134d3"," -11"," -96"
1494237185.0660598,"08/05/2017 17:53:05"," 134d3"," -12"," -94"
1494237186.5756242,"08/05/2017 17:53:06"," 134d3"," -13"," -95"
1494237188.0866435,"08/05/2017 17:53:08"," 134d3"," -13"," -94"
1494237189.5897567,"08/05/2017 17:53:09"," 134d3"," -13"," -95"
1494237191.0982547,"08/05/2017 17:53:11"," 134d3"," -13"," -95"
1494237192.6088285,"08/05/2017 17:53:12"," 134d3"," -12"," -95"
1494237194.1199622,"08/05/2017 17:53:14"," 134d3"," -12"," -96"
1494237195.635621,"08/05/2017 17:53:15"," 134d3"," -12"," -99"
1494237197.1374912,"08/05/2017 17:53:17"," 134d3"," -5"," -90"
1494237198.640402,"08/05/2017 17:53:18"," 134d3"," -12"," -97"
1494237200.147861,"08/05/2017 17:53:20"," 134d3"," -11"," -96"
1494237201.6573226,"08/05/2017 17:53:21"," 134d3"," -11"," -97"
1494237203.1668932,"08/05/2017 17:53:23"," 134d3"," -8"," -98"
1494237204.6696632,"08/05/2017 17:53:24"," 134d3"," -9"," -94"
1494237206.1821928,"08/05/2017 17:53:26"," 134d3"," -9"," -95"
1494237207.6828387,"08/05/2017 17:53:27"," 134d3"," -10"," -97"
1494237209.19145,"08/05/2017 17:53:29"," 134d3"," -12"," -96"
1494237210.7085273,"08/05/2017 17:53:30"," 134d3"," -13"," -95"
1494237212.2189715,"08/05/2017 17:53:32"," 134d3"," -12"," -92"
1494237213.7326798,"08/05/2017 17:53:33"," 134d3"," -12"," -95"
1494237215.237706,"08/05/2017 17:53:35"," 134d3"," -13"," -96"
1494237216.7503538,"08/05/2017 17:53:36"," 134d3"," -13"," -96"
1494237218.2649055,"08/05/2017 17:53:38"," 134d3"," -13"," -97"
1494237219.7698667,"08/05/2017 17:53:39"," 134d3"," -11"," -95"
1494237221.2718546,"08/05/2017 17:53:41"," 134d3"," -10"," -99"
1494237222.7849464,"08/05/2017 17:53:42"," 134d3"," -10"," -97"
1494237224.2940884,"08/05/2017 17:53:44"," 134d3"," -12"," -95"
1494237225.8025932,"08/05/2017 17:53:45"," 134d3"," -11"," -96"
1494237227.3129108,"08/05/2017 17:53:47"," 134d3"," -12"," -98"
1494237228.8294418,"08/05/2017 17:53:48"," 134d3"," -11"," -98"
1494237230.339092,"08/05/2017 17:53:50"," 134d3"," -8"," -94"
1494237231.8457203,"08/05/2017 17:53:51"," 134d3"," -12"," -94"
1494237233.3487976,"08/05/2017 17:53:53"," 134d3"," -11"," -91"
1494237234.8676348,"08/05/2017 17:53:54"," 134d3"," -13"," -95"
1494237236.3844943,"08/05/2017 17:53:56"," 134d3"," -13"," -96"
1494237237.8890934,"08/05/2017 17:53:57"," 134d3"," -12"," -96"
1494237239.3995214,"08/05/2017 17:53:59"," 134d3"," -13"," -99"
1494237240.9037902,"08/05/2017 17:54:00"," 134d3"," -13"," -95"
1494237242.416888,"08/05/2017 17:54:02"," 134d3"," -13"," -93"
1494237243.934332,"08/05/2017 17:54:03"," 134d3"," -12"," -92"
1494237245.438944,"08/05/2017 17:54:05"," 134d3"," -12"," -93"
1494237246.9507833,"08/05/2017 17:54:06"," 134d3"," -12"," -92"
1494237248.4608238,"08/05/2017 17:54:08"," 134d3"," -13"," -96"
