"timestamp","date time","EcIo","RSCP"
1494492018.9213393,"11/05/2017 16:40:18"," fffff"," -13"," -94"
1494492020.4696496,"11/05/2017 16:40:20"," fffff"," -12"," -96"
1494492022.0370276,"11/05/2017 16:40:22"," fffff"," -12"," -97"
1494492023.5777795,"11/05/2017 16:40:23"," fffff"," -9"," -89"
1494492025.105467,"11/05/2017 16:40:25"," fffff"," -12"," -93"
1494492026.62729,"11/05/2017 16:40:26"," fffff"," -10"," -94"
1494492028.1522486,"11/05/2017 16:40:28"," fffff"," -11"," -91"
1494492029.6762958,"11/05/2017 16:40:29"," fffff"," -10"," -92"
1494492031.200192,"11/05/2017 16:40:31"," fffff"," -11"," -91"
1494492032.7127666,"11/05/2017 16:40:32"," fffff"," -11"," -89"
1494492034.2269256,"11/05/2017 16:40:34"," fffff"," -12"," -91"
1494492035.7432466,"11/05/2017 16:40:35"," fffff"," -12"," -92"
1494492037.261367,"11/05/2017 16:40:37"," fffff"," -11"," -95"
1494492038.775046,"11/05/2017 16:40:38"," fffff"," -11"," -93"
1494492040.291084,"11/05/2017 16:40:40"," fffff"," -9"," -92"
1494492041.8045719,"11/05/2017 16:40:41"," fffff"," -9"," -90"
1494492043.32217,"11/05/2017 16:40:43"," fffff"," -10"," -92"
1494492044.8352437,"11/05/2017 16:40:44"," fffff"," -10"," -89"
1494492046.3507323,"11/05/2017 16:40:46"," fffff"," -13"," -94"
1494492047.8634322,"11/05/2017 16:40:47"," fffff"," -13"," -94"
1494492049.3768175,"11/05/2017 16:40:49"," fffff"," -10"," -89"
1494492050.8639011,"11/05/2017 16:40:50"," fffff"," -11"," -89"
1494492052.342564,"11/05/2017 16:40:52"," fffff"," -12"," -87"
1494492053.82208,"11/05/2017 16:40:53"," fffff"," -11"," -94"
1494492055.3074737,"11/05/2017 16:40:55"," fffff"," -8"," -94"
1494492056.7940876,"11/05/2017 16:40:56"," fffff"," -8"," -95"
1494492058.281852,"11/05/2017 16:40:58"," 134e4"," -12"," -97"
1494492059.7733092,"11/05/2017 16:40:59"," fffff"," -14"," -97"
1494492061.2684946,"11/05/2017 16:41:01"," 134d3"," -14"," -93"
1494492062.765617,"11/05/2017 16:41:02"," 134d3"," -8"," -92"
1494492064.271851,"11/05/2017 16:41:04"," 134d3"," -11"," -93"
1494492065.7762287,"11/05/2017 16:41:05"," 134d3"," -14"," -93"
1494492067.271624,"11/05/2017 16:41:07"," 134d3"," -14"," -92"
1494492068.774959,"11/05/2017 16:41:08"," 134d3"," -5"," -91"
1494492070.2893715,"11/05/2017 16:41:10"," 134d3"," -13"," -93"
1494492071.80045,"11/05/2017 16:41:11"," 134d3"," -12"," -90"
1494492073.3131227,"11/05/2017 16:41:13"," 134d3"," -13"," -91"
1494492074.8171966,"11/05/2017 16:41:14"," 1340bc"," -2"," -85"
1494492076.3203297,"11/05/2017 16:41:16"," 1340bc"," -2"," -79"
1494492077.8251503,"11/05/2017 16:41:17"," 1340bc"," -3"," -75"
