Time slot,smartEXP3,greedy
353,9.7074988866,22.9530517831
354,9.9533255831,23.0510658772
355,10.1223245267,23.0539579653
356,10.2593950985,23.1385015804
357,10.57957568,23.4480797238
358,10.6060502218,23.4718501783
359,10.6566626225,23.9936611428
360,10.6612786296,24.1406500785
361,10.6944231673,23.6737148303
362,10.6462095784,23.3868452144
363,10.4931882896,23.3441311745
364,10.0528748773,23.1961314684
365,9.5475041156,23.2793081646
366,9.3836777546,23.6255004588
367,8.9947048406,23.6461533511
368,9.0629941829,23.4479300041
369,9.452417535,23.0219513727
370,9.9381059683,22.8540319249
371,9.97313185,22.6620055207
372,10.0571556215,23.0354299923
373,9.7533148227,23.3448204455
374,9.3892020797,23.9420872574
375,9.2339893057,23.9971241789
376,9.2638751002,24.0057895082
377,9.0646059395,23.6978737225
378,8.7070702386,23.9398915349
379,8.7740603049,24.0561281644
380,8.9255807835,24.0748251035
381,8.9164581201,24.3173318879
382,9.309053004,24.3197969623
383,10.1206660847,23.9152192361
384,10.6209538511,23.5548996307
385,10.7880222783,22.9780993148
386,11.0129073391,22.6647651317
387,11.0193415198,22.7925293419
388,10.9881299711,22.8895131106
389,11.1334099677,22.7834428497
390,11.2204687301,22.8158594146
391,11.5822115152,22.2529839913
392,11.8354692553,22.1181554894
393,11.6287233128,22.3684973805
394,11.3133388735,22.6940769027
395,11.084878716,22.8991630403
396,10.9499744436,23.4359730094
397,10.7386670823,23.3525539335
398,11.2329314192,22.8441659384
399,11.5342630158,22.4032542486
400,11.9517421382,22.2302296723
401,11.9510458553,21.8862302491
402,12.000062737,21.9267734141
403,11.5094310472,22.0511705522
404,10.7867117512,22.758232936
405,10.3566451894,23.4777593746
406,10.0935707076,24.135992098
407,10.0289640794,24.2249958754
408,9.9696056451,24.399667167
409,9.9720386456,23.981451288
410,9.7720754837,23.9073958755
411,10.2834732369,23.9191082543
412,9.9275775035,24.4329601532
413,10.0677437518,24.5335553899
414,10.0771607826,24.9799896452
415,10.3263847777,24.9724157773
416,9.6843435279,24.8811081253
417,10.1141180946,24.2158352006
418,9.9516064949,24.5713862556
419,10.1644340306,24.2681842732
420,10.0232979732,24.6643839608
421,10.3336935034,24.6628550463
422,10.1975594814,25.0032669982
423,10.2280143196,24.5795855732
424,10.3182559038,24.3901819704
425,10.0696613272,23.5590863169
426,9.6562501645,23.5655698296
427,9.5083436971,23.8375204988
428,9.3574514549,24.2284544403
429,8.9653322714,24.8491144734
430,9.6891789998,25.5702798919
431,10.1246039326,25.4921351203
432,10.6351959506,25.4705052151
433,10.7773945877,25.6285374149
434,11.1062303202,25.2173512632
435,10.9540452007,25.4397788224
436,10.605354472,26.3662687171
437,10.6343928191,26.6250027633
438,11.2144312549,26.4396073903
439,11.7495498131,26.2271068837
440,11.9678831956,25.5682999493
441,12.7513503601,25.1916221266
442,13.1418662307,24.6170356691
443,12.946946869,24.3231060182
444,12.5802076157,24.623640297
445,12.2382202919,25.1477112696
446,11.8091057154,24.689894754
447,11.0759189575,25.3111028595
448,10.4195043052,26.1652870136
449,10.2068612669,26.936015344
450,10.0322217921,27.021788654
451,9.8195410046,27.7923659624
452,9.7673857649,27.3107861089
453,9.7146570476,27.0088340765
454,9.8122034754,26.2359270374
455,9.9774737679,25.9149759111
456,9.9043828,25.4931479344
457,9.6815474062,25.6110583348
458,10.541619644,25.6479010291
459,10.5136369806,25.4488983791
460,10.5328056695,25.4444636898
461,10.6573065224,25.6517020649
462,10.6662673569,26.1403506829
463,9.8440916586,26.3373368957
464,10.0049398246,26.6288464957
465,10.4904889464,26.4023633611
466,10.9479845784,25.8498332442
467,11.3499431445,25.150147499
468,12.186728836,24.5804561438
469,12.2354581978,24.513769426
470,11.8695417798,24.9561088133
471,11.7645205803,24.9389778496
472,11.1691335958,25.3171009684
473,10.5266283664,25.6036090382
474,10.7850670477,25.3501075774
475,11.1307479785,24.9977876581
476,11.132720024,25.1244082772
477,11.6803121441,25.5516455926
478,12.003813774,25.4815785837
